light_name,lat,lng,angle
D1,61.500242,23.750686,0
E1,61.500242,23.750860,350
A2,61.500089,23.750590,260
B3,61.500107,23.750683,80
C1,61.500092,23.750687,80
A1,61.500014,23.750633,270
D2,61.500024,23.750912,350
E2,61.500024,23.750942,350
A3,61.500119,23.750928,250
B2,61.500119,23.750928,70
B1,61.500204,23.750925,90
J1,61.500068,23.751382,270
J2,61.500157,23.751360,250
J3,61.500167,23.751505,240
K2,61.500167,23.751505,70
L3,61.500242,23.751539,170
L2,61.500045,23.751588,170
L1,61.500055,23.751748,180
K1,61.500234,23.751781,90
_G1,61.500242,23.750686,90
_G2,61.500242,23.750860,250
_F4,61.500191,23.750547,160
_F3,61.500089,23.750590,20
_F2,61.500089,23.750590,160
_F1,61.500014,23.750633,20
_H2,61.499976,23.750783,70
_H1,61.500024,23.750912,250
_M4,61.500229,23.751373,160
_M3,61.500157,23.751360,20
_M2,61.500157,23.751360,160
_M1,61.500068,23.751382,20
_P1,61.500242,23.751539,70
_P2,61.500252,23.751652,290
_N1,61.500234,23.751781,200
_N2,61.500099,23.751819,340
_O1,61.500055,23.751748,290
_O2,61.500045,23.751588,70
